                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5992,                 1.8873,                 1.5886,                0.81153,                0.24423,                0.30161,                0.14437,                 1.7939,                  2.227,                 1.8703,               0.070033,              0.0033297,              0.0033297
                      2,                 1.6181,                 1.9087,                 1.5816,                0.12202,                0.52725,                0.32268,                0.18648,                 1.5017,                 1.8994,                  1.488,               0.040014,               0.006645,               0.006645
                      3,                 1.5649,                 1.7783,                  1.548,                0.62971,                0.39919,                0.39014,                0.21642,                 1.4552,                 1.6568,                 1.4656,              0.0099244,              0.0098883,              0.0098883
                      4,                 1.4742,                 1.7039,                 1.4892,                0.48033,                0.49306,                0.36475,                0.20358,                 1.5703,                 1.7282,                 1.5773,              0.0097577,              0.0097577,              0.0097577
                      5,                 1.4292,                 1.6033,                 1.4442,                0.62219,                0.45381,                0.42778,                0.25716,                 1.3977,                 1.5209,                 1.4131,              0.0097577,              0.0097577,              0.0097577
                      6,                 1.4142,                 1.5756,                 1.4326,                0.38987,                0.57335,                0.48025,                0.28616,                 1.3206,                 1.5152,                   1.31,              0.0095721,              0.0095721,              0.0095721
                      7,                 1.3725,                 1.4969,                 1.3927,                0.67734,                0.51567,                 0.5004,                0.30317,                 1.3095,                 1.3183,                  1.314,              0.0093368,              0.0093368,              0.0093368
                      8,                 1.3608,                 1.4522,                 1.3838,                0.41857,                 0.6304,                 0.5588,                 0.3467,                  1.292,                 1.2218,                 1.2999,              0.0090546,              0.0090546,              0.0090546
                      9,                 1.3493,                 1.4456,                 1.3729,                0.79959,                0.50447,                0.59894,                0.37419,                 1.2925,                 1.2233,                 1.2899,              0.0087286,              0.0087286,              0.0087286
                     10,                 1.3298,                 1.3865,                 1.3654,                0.81265,                0.50615,                0.58317,                0.33313,                 1.3924,                 1.2316,                 1.3925,              0.0083622,              0.0083622,              0.0083622
                     11,                 1.3034,                 1.3516,                 1.3496,                 0.7176,                0.51229,                0.56723,                0.34458,                 1.3038,                 1.2792,                 1.3273,              0.0079595,              0.0079595,              0.0079595
                     12,                 1.2854,                 1.3185,                 1.3456,                0.79259,                0.51334,                0.59112,                0.36131,                 1.3498,                 1.1439,                 1.3323,               0.007525,               0.007525,               0.007525
                     13,                 1.2652,                 1.2675,                 1.3204,                0.51111,                0.64906,                0.64422,                0.41864,                 1.2936,                 1.1118,                 1.3101,              0.0070633,              0.0070633,              0.0070633
                     14,                 1.2503,                 1.2293,                 1.3079,                0.61967,                0.62242,                0.67334,                0.43908,                 1.2665,                  1.071,                 1.2844,              0.0065796,              0.0065796,              0.0065796
                     15,                 1.2097,                 1.1815,                 1.2956,                0.62256,                0.68825,                0.71463,                 0.4554,                 1.2651,                 1.0375,                 1.2854,              0.0060792,              0.0060792,              0.0060792
                     16,                 1.2119,                 1.1369,                 1.2901,                0.63306,                0.68962,                 0.7158,                0.45455,                 1.2932,                0.98314,                 1.3091,              0.0055674,              0.0055674,              0.0055674
                     17,                 1.1978,                 1.1311,                 1.2883,                0.55447,                0.74573,                0.72828,                0.47555,                 1.2516,                0.93185,                 1.2774,                0.00505,                0.00505,                0.00505
                     18,                 1.1678,                 1.0763,                 1.2725,                0.64414,                0.71852,                0.73965,                0.49104,                 1.2566,                0.95037,                 1.2609,              0.0045326,              0.0045326,              0.0045326
                     19,                  1.162,                 1.0716,                 1.2658,                 0.7543,                0.71355,                0.77803,                0.50905,                 1.2345,                0.89859,                 1.2569,              0.0040208,              0.0040208,              0.0040208
                     20,                 1.1489,                 1.0243,                 1.2547,                0.79461,                0.73355,                0.78852,                0.52215,                 1.2122,                0.88984,                 1.2338,              0.0035204,              0.0035204,              0.0035204
                     21,                 1.0397,                0.75466,                 1.2005,                0.81696,                0.78578,                0.83908,                0.54019,                 1.2592,                0.90187,                 1.2566,              0.0030367,              0.0030367,              0.0030367
                     22,                 1.0101,                0.69882,                 1.1883,                0.79962,                0.78792,                0.82294,                0.51272,                 1.2672,                0.93019,                  1.278,               0.002575,               0.002575,               0.002575
                     23,                0.98577,                0.66711,                  1.166,                 0.8708,                0.76945,                0.86002,                0.55462,                 1.2454,                0.79319,                 1.2485,              0.0021405,              0.0021405,              0.0021405
                     24,                0.95612,                0.62093,                 1.1557,                 0.8681,                0.74101,                0.82018,                0.52444,                 1.2288,                0.84625,                 1.2373,              0.0017378,              0.0017378,              0.0017378
                     25,                0.94848,                0.58853,                 1.1485,                0.90279,                0.77329,                 0.8809,                0.57784,                 1.2208,                0.76724,                 1.2302,              0.0013714,              0.0013714,              0.0013714
                     26,                0.93218,                 0.5661,                 1.1412,                0.88401,                0.84435,                0.88419,                0.57526,                 1.2324,                 0.7589,                 1.2444,              0.0010454,              0.0010454,              0.0010454
                     27,                0.90788,                0.53608,                 1.1201,                0.88363,                0.81219,                0.87949,                0.56643,                 1.2388,                0.74636,                 1.2477,             0.00076317,             0.00076317,             0.00076317
                     28,                0.90172,                0.52174,                 1.1164,                0.85476,                 0.8241,                0.86992,                0.57278,                 1.2249,                0.76445,                 1.2327,             0.00052795,             0.00052795,             0.00052795
                     29,                0.87971,                0.50031,                  1.103,                0.86011,                 0.8148,                0.86554,                0.56223,                 1.2278,                0.77234,                 1.2391,             0.00034227,             0.00034227,             0.00034227
                     30,                0.87454,                0.49718,                 1.0981,                0.84789,                0.84501,                0.87732,                0.57253,                 1.2185,                0.75236,                 1.2339,             0.00020817,             0.00020817,             0.00020817
